1_173,2_173,3_173,4_173,5_173,6_173,7_173,8_173,9_173,10_173,11_173,12_173,13_173,14_173,15_173
-2.180777234345882,-2.181658334882393,-2.182546719638443,-2.1834261381148714,-2.1843053174241702,-2.185194545534073,-2.1860737589607595,-2.1869447933622785,-2.187831262861046,-2.188706866920257,-2.189571465695693,-2.1904444837200816,-2.191314137956392,-2.1921727665402155,-2.1930262600510013
-1.8514568453365652,-2.181644937246207,-2.1825040837954988,-2.183406371762515,-2.184296265863599,-2.185156793749275,-2.1860476538831044,-2.1869426887332764,-2.187801101888142,-2.188671495319682,-2.1895636143924424,-2.1904249931509985,-2.19126749124859,-2.192151683057322,-2.1930207720131105
-1.851437970622266,-1.8522302955054275,-2.182498027082981,-2.183354349270509,-2.184222362935225,-2.1851400848227103,-2.186007433575732,-2.1868538654105243,-2.187768197398214,-2.1886488101703865,-2.1894856809529006,-2.1903696215634607,-2.191266263303001,-2.192099162884163,-2.192936179740065
-1.85038796029468,-1.8522291941619993,-1.8526213078868297,-2.183294793643398,-2.1841954194859503,-2.185026995165415,-2.185928700526237,-2.1868479250156962,-2.1876780436579266,-2.1885421060351424,-2.1894615794457426,-2.19031165642155,-2.191126789765016,-2.1920351643341576,-2.192920432450542
-1.8503632645978212,-1.8521419400419343,-1.8525681688032052,-1.8527118634047484,-2.1840468960716164,-2.184992949506127,-2.1858487977161123,-2.1866692310358418,-2.187611274028987,-2.1884976099934796,-2.1893065009725583,-2.1901995888022,-2.1911230854944654,-2.191931299868652,-2.1927494851321776
-1.849416258656376,-1.8521406907876368,-1.852534276241813,-1.8525745565693743,-1.8525643178657185,-2.1847523806221987,-2.1857161825278575,-2.1866605763359823,-2.187462116297315,-2.1883178041984563,-2.1892645050591155,-2.19010467046767,-2.190892186799138,-2.1918221399836275,-2.192725631106851
-1.849390643959997,-1.8493505753323145,-1.8523921751339403,-1.8525663561523937,-1.852365344897233,-1.8521808813072909,-2.185409084716599,-2.186389915492462,-2.1873595581509786,-2.188253248388929,-2.18903386149085,-2.1899332548026096,-2.190883505780418,-2.1916692870232306,-2.19246479924013
-1.8485580564199033,-1.8493409904725682,-1.8523575445298455,-1.8524930769386467,-1.8522446361262521,-1.8519655528228118,-1.8517476531935386,-2.1860146430101617,-2.187011811593853,-2.1879973886464135,-2.1889712261379044,-2.1898039245144565,-2.1905635244238573,-2.191511215510592,-2.1924364327766512
-1.84853399511763,-1.8492356261320082,-1.8523002346059145,-1.8522537184718963,-1.8521889307220998,-1.8517696238684118,-1.8514847838326878,-1.8510654298433256,-2.186566492588841,-2.1875793515279933,-2.188580267507949,-2.1895691749918647,-2.1905461068985117,-2.191312917789678,-2.1920804123128423
-1.8478044270853844,-1.849225338725118,-1.847572757059905,-1.8521780367034324,-1.8521234363801666,-1.8517528333990203,-1.8512161803253102,-1.8507052372521207,-1.8500529376369184,-2.187061878283955,-2.1880898434616176,-2.1891055899498246,-2.190109151745162,-2.1911006706809086,-2.1920525795079855
-1.8477791276762332,-1.8468789828511631,-1.847462276082371,-1.8521655308738312,-1.8517162617961216,-1.851623716983162,-1.8510067597869708,-1.8503332430570518,-1.8496135106470897,-1.8488364386134029,-2.1874978576446624,-2.188540424803281,-2.189570582317216,-2.190588458147117,-2.191594280383356
-1.8471277247065645,-1.8468698142950253,-1.847434188676047,-1.8520123150552648,-1.851655873625742,-1.851614900160579,-1.8509537034531722,-1.8499619560081435,-1.8491785854722513,-1.848373657947087,-1.8475965148359608,-2.1878712889565155,-2.188928018980519,-2.1899722024112496,-2.191004024191216
-1.8470928811610472,-1.8467901171423629,-1.8472361244692652,-1.8452749228289818,-1.8515968720708518,-1.851012804646842,-1.8507803701576726,-1.849810642363463,-1.8487646176875752,-1.8479392420644303,-1.847157558358287,-1.8464427495403568,-2.188178760133214,-2.189249199219848,-2.190306928597885
-1.8461918247777072,-1.8467824484421662,-1.847207847712043,-1.8450414334305363,-1.8514898128509547,-1.8509937612487493,-1.8507556128253495,-1.8496260847734582,-1.8484364639409931,-1.8475480744022836,-1.8467598159911083,-1.8460424105067246,-1.845386166601821,-2.1884164155000327,-2.189499942628484
-1.846130238757186,-1.844849863842369,-1.8471018136500923,-1.844939354053716,-1.8513024407581817,-1.8508633786513107,-1.849899786346483,-1.8495142277082384,-1.8483993148218696,-1.8472183542012777,-1.8464109911109312,-1.8456802094687745,-1.8450119046438032,-1.8443858374771815,-2.188579680285092
-1.845257097666002,-1.8448010675424165,-1.8432707878585175,-1.8448347698098067,-1.8423894331594306,-1.8508161232032248,-1.8498828990621263,-1.8494274164151407,-1.8481617737863831,-1.8471714225825957,-1.8461188554434815,-1.8453563781699283,-1.8446634391471282,-1.8440136921525716,-1.843392397034558
-1.8451925383265344,-1.844608556110358,-1.843266508651729,-1.8445363718148873,-1.8422923900747628,-1.8505670538407955,-1.8496510059785731,-1.848260782386237,-1.848132915714443,-1.8469732083695967,-1.84603817001292,-1.8450708967173388,-1.8443363576506326,-1.843652247556109,-1.842998173507192
-1.8439261239405187,-1.8445459617385889,-1.8432631731407016,-1.844435236749572,-1.8422138727541937,-1.8502774854121706,-1.8496203949558847,-1.848168977089853,-1.848041672532205,-1.8469542723098897,-1.8458927834897039,-1.8448901061778453,-1.8440261928613015,-1.8432948973080783,-1.8426000533522395
-1.8438060015896576,-1.842257486147929,-1.8431310378979562,-1.8443504010318108,-1.8422025688398551,-1.8395567192955777,-1.8493018694405194,-1.8480820104690998,-1.8465357940338705,-1.8468395126285484,-1.845849855640661,-1.8448256743849374,-1.8437301118371947,-1.8429351081799779,-1.8421905742282842
