1_31,2_31,3_31,4_31,5_31,6_31,7_31,8_31,9_31,10_31,11_31,12_31,13_31,14_31,15_31
-2.1846794442420285,-2.1895085619144794,-2.194511610689745,-2.1992570525458963,-2.2039215488516626,-2.2086020279745937,-2.213575859280062,-2.2187081133286957,-2.2229159536433647,-2.2319044766481078,-2.2405726146006497,-2.254875254268578,-2.2778751948213447,-2.3078549846926055,-2.34175191849718
-1.8519645618610299,-2.18915877817926,-2.193320038069248,-2.198148718239107,-2.2034140011322068,-2.2084384362072305,-2.2126819272797507,-2.2162474735955575,-2.221112807987993,-2.226576715379398,-2.2392154599263425,-2.254490601514896,-2.2770877291441916,-2.3069657739769185,-2.3149217545367575
-1.8511973243880055,-1.8458584703220893,-2.1926747076616313,-2.1972590192546324,-2.2010701874297083,-2.204708894388368,-2.2101478712876492,-2.215266343065214,-2.2198405250909015,-2.22183265453687,-2.2293382975713105,-2.2509929481819757,-2.27519920057495,-2.304792940121612,-2.2897055285445
-1.8401903366725814,-1.84580773096195,-1.8391168471569723,-2.1935887583772775,-2.199268613794391,-2.2045886926339318,-2.207514538087688,-2.2099851793264653,-2.2159083288334775,-2.220221287145987,-2.228946876616659,-2.2500280237731625,-2.270876415657012,-2.235954226812654,-2.2631892452118505
-1.8389924590135693,-1.8431524128853412,-1.8361713420728643,-1.8293661123680003,-2.190842545205852,-2.196366319812278,-2.2018068774802395,-2.207450939201774,-2.210159488146725,-2.2100149266480194,-2.2236288308354117,-2.2444547415446827,-2.2639431293157686,-2.228152197501161,-2.234803512309785
-1.8279364221661711,-1.842994488435624,-1.8347673453183948,-1.8207153552873625,-1.81763359152686,-2.1828393673454305,-2.18830902203689,-2.19411222108283,-2.2002963798746,-2.208950608528993,-2.2173475711724926,-2.22544207349308,-2.1832232041845208,-2.214851463037348,-2.2059095945125273
-1.827475847387275,-1.815515124039497,-1.8274553935908633,-1.8179485700685452,-1.8051294239286468,-1.8068954107215471,-2.1690191845448847,-2.17506855922481,-2.181771746270353,-2.1911310759773563,-2.200721696046927,-2.2104218035722996,-2.1677246372942847,-2.170816750975899,-2.1774618265451364
-1.8167281777525535,-1.8132704990617026,-1.8252995026588308,-1.8100323227178414,-1.7944799569666092,-1.7892671285676065,-1.7946176602695174,-2.1501461359936074,-2.1573190345850843,-2.1674583811930277,-2.176015515130616,-2.130587189092605,-2.1443672073466717,-2.1456159506772092,-2.1478766412538457
-1.8119041332910013,-1.8022301682820066,-1.8157675825822506,-1.798977650063015,-1.7888029501607867,-1.768939242852986,-1.7765818239648405,-1.790015871906954,-2.1275299307586475,-2.138035338774334,-2.147844797337054,-2.1028088179389273,-2.1043259300077812,-2.112017908861015,-2.114089329268349
-1.7857039848462082,-1.7986158290190652,-1.7623701535863192,-1.787130184497543,-1.7787682646766094,-1.7668555729094944,-1.760445849509666,-1.774460419370231,-1.7983929425556109,-2.0979725092807384,-2.0660275093810614,-2.068861618974269,-2.0717119401191297,-2.0722007920218743,-2.0766835985091867
-1.7754436944617842,-1.7464678867771417,-1.744560578663244,-1.78104682486499,-1.758749935037496,-1.7490441787386102,-1.742004729136762,-1.7587870063180764,-1.7872649784902634,-1.8213680429911534,-2.0269343123042303,-2.031095518768159,-2.0262980070375765,-2.033523314953862,-2.037353897996481
-1.7411427988553954,-1.7420974849666693,-1.7360288748793455,-1.7544756619781654,-1.7372990254913192,-1.7469037055182244,-1.7365012614216067,-1.7481498921401009,-1.7788857403424614,-1.6898904763135645,-1.6988829994412376,-1.9928211276471641,-1.9889370412400116,-1.9716158547258202,-1.996029675176862
-1.7258094832885766,-1.7106085431666922,-1.708222689539828,-1.6910433310121737,-1.731267929554957,-1.7134518802548249,-1.725141600364389,-1.7458256035270114,-1.7755092871330733,-1.668307955850793,-1.6844871719435268,-1.704054404535559,-1.9546924327622188,-1.9406681205734369,-1.949877036924844
-1.6870364363606976,-1.7060410657535854,-1.6962448897663918,-1.6582340945932015,-1.7063751996614969,-1.6940403777052888,-1.7206369234608176,-1.7382406286063643,-1.6205291585840282,-1.6535821712129297,-1.6736170140107287,-1.6993410577902635,-1.6933914671976822,-1.9176275586393052,-1.899143978433625
-1.6667617997666584,-1.6354278271874558,-1.671103996930722,-1.6564543219789822,-1.671655126345986,-1.6747923944393488,-1.6889845674700248,-1.7283635897998226,-1.6046226717481167,-1.6323463808943295,-1.6654100034371622,-1.6565177776598508,-1.6882615628683637,-1.7061248968430305,-1.8443333455564606
-1.6261919613752722,-1.6328710969641178,-1.6045208048808053,-1.6162647324319406,-1.6113485647461199,-1.6718914889131813,-1.6867807935061923,-1.5796422214019514,-1.599500935369174,-1.629187679351389,-1.6541913058506292,-1.6495510168052931,-1.674709845611693,-1.7033691763543413,-1.7345773343850568
-1.6013453485576241,-1.5831373350077442,-1.5842558130691782,-1.58374485631932,-1.5828640808027663,-1.6442031809673077,-1.6823030608102545,-1.5646204832824682,-1.594530576356834,-1.616752367960026,-1.6350344342922598,-1.6475072200406948,-1.6706622041843755,-1.702525751341556,-1.4719632914598642
-1.561675700289378,-1.5813325741732638,-1.5645412427236929,-1.5607591790404889,-1.5663708947054746,-1.6194887773919606,-1.524261814783004,-1.5436160378531776,-1.5887087904855788,-1.6085290883385965,-1.6290804940871877,-1.634611452253364,-1.6684012928055345,-1.2706708679402747,-1.3552147307805944
-1.5327343007811736,-1.5160831625488957,-1.5369190989702668,-1.5508430323091624,-1.5584101261093335,-1.5837617085193416,-1.5009232791845448,-1.5200841150617614,-1.5412382367443962,-1.5948785915536625,-1.5852117376239567,-1.6295896258912925,-1.1787153466591909,-1.2611543139927905,-1.2582472561435913
-1.4972802922648634,-1.4946819811874226,-1.4820403551798031,-1.5152533279672853,-1.5445568717008193,-1.4351645306751313,-1.478729324958407,-1.4968587748119537,-1.5222995128127719,-1.567621398583984,-1.584222973949814,-1.126138718975784,-1.1512548586705122,-1.2565053030232598,-1.173326503483195
