1_61,2_61,3_61,4_61,5_61,6_61,7_61,8_61,9_61,10_61,11_61,12_61,13_61,14_61,15_61
-2.9712768733340487,-2.9435430642933307,-2.9165338052430547,-2.8901495489692848,-2.8643294420788137,-2.8390294737405752,-2.8142145618684298,-2.789854262807517,-2.7659179995052456,-2.742369635689115,-2.7191640440564018,-2.6962549730455843,-2.6735713635463094,-2.651090460292603,-2.6289249778419443
-2.911506042318579,-2.936553358173923,-2.9079288540448514,-2.8802778930660073,-2.853418120641872,-2.8272433797911507,-2.8016814113702715,-2.7766782249299613,-2.7521913305768844,-2.7281847769988428,-2.704624079730672,-2.6814673323329794,-2.6586850120303454,-2.63624060771346,-2.614087214226097
-2.853639464879033,-2.8248146751470866,-2.9005672092858323,-2.871302750039359,-2.8431449250720027,-2.8158932154763687,-2.789419984443567,-2.7636360694551807,-2.7384791044095884,-2.7139088323998664,-2.6898998128539606,-2.666426052363483,-2.6434713376888856,-2.6210156733270997,-2.5989646982558976
-2.795524411250573,-2.8243972036739518,-2.739663019396978,-2.8645339428659873,-2.8347063666479473,-2.806067495200053,-2.778423352358929,-2.751638164633692,-2.725618280530678,-2.7003089969291545,-2.675687573531854,-2.651742592494325,-2.6284750513139343,-2.6058812534593945,-2.5838036986716553
-2.7387724991664193,-2.7113444445158006,-2.7391108131667448,-2.656459632076248,-2.8290753015193193,-2.7987528005182307,-2.7696523070350363,-2.741603505023983,-2.7144795703110667,-2.688202251630084,-2.662742716517768,-2.6381010457974656,-2.614288541718003,-2.5913706265712575,-2.56903948593673
-2.6820307663175216,-2.708641732687485,-2.738644242297526,-2.6558179598081,-2.574973110634281,-2.794538681605138,-2.763805246563762,-2.73428195803754,-2.70583108944953,-2.6783531934569584,-2.651806506816377,-2.6262014519994272,-2.601576297861326,-2.5778876367588492,-2.5551633207224507
-2.626508755931078,-2.598971507180098,-2.572932169613612,-2.654221613489715,-2.573894463721961,-2.495072246956407,-2.7611125651172546,-2.730064254388762,-2.700172818259238,-2.671336121057717,-2.643499092159144,-2.6166815201896267,-2.5909619861765574,-2.5662698110569147,-2.542711191758468
-2.571143520506191,-2.5983907231194694,-2.5698552838960422,-2.653762291376711,-2.5732718935722367,-2.4946731497989116,-2.417306962362113,-2.7288854533097453,-2.6978776054238867,-2.6680587520472003,-2.6393596533609913,-2.6117081992536844,-2.5850534379308954,-2.559152221455781,-2.5347278150566512
-2.516930584531512,-2.49007457733232,-2.5685981457104026,-2.438290892842074,-2.571101404442811,-2.4919995570832656,-2.4155520967499777,-2.340560804415798,-2.6976156491594923,-2.667408488300979,-2.638200647791438,-2.610017411059985,-2.583116279236313,-2.557098124620437,-2.5322345998309896
-2.4629787413805952,-2.4886039859474876,-2.409958607265999,-2.4351517105466414,-2.568552882090016,-2.4915438900131757,-2.415519867176055,-2.3404294949550155,-2.266126905980158,-2.666456771084528,-2.636522771852282,-2.6077328469108414,-2.5796626590696468,-2.5527877861557378,-2.5268088266979962
-2.410142551789491,-2.383438008035758,-2.40927970217243,-2.4346562635803233,-2.307313536018554,-2.489251437370756,-2.411966594818701,-2.337554811704934,-2.2647009907230764,-2.1930302479349715,-2.635965242479869,-2.6064841330808157,-2.5777218665073414,-2.5502367070400416,-2.524255687439705
-2.3576506737787595,-2.3827680011686496,-2.4085918483769815,-2.433157711655249,-2.306944730794998,-2.4834570668223312,-2.4092370907674017,-2.3360093566212297,-2.263589741967055,-2.1913417437076728,-2.120121081752057,-2.605596896325881,-2.5765956210969057,-2.548488973452623,-2.521269325787347
-2.3062540653524866,-2.2797961332483663,-2.2539511243712655,-2.2289205608456464,-2.304303984088141,-2.185159330685146,-2.408635856286118,-2.3331250442535714,-2.260555599208069,-2.189290792721452,-2.118740655044147,-2.050740021144324,-2.5757849726379,-2.5468403802389123,-2.5193235124749385
-2.2552729243268588,-2.278977290768021,-2.2530137852999195,-2.2281226114982986,-2.3025513134533444,-2.1798905189675786,-2.3985589463392816,-2.3292333337535225,-2.2565052333387983,-2.186721618048024,-2.1176554056798094,-2.0472823216721454,-1.9787191414089502,-2.5463037167549087,-2.517796974607852
-2.205376704341384,-2.17913905947252,-2.2524144380451028,-2.2260694371160974,-2.3018889912574987,-2.178307175639742,-2.068720666791907,-2.3269851044280867,-2.2554197029153285,-2.1843567508243376,-2.1148034164936353,-2.0447046557505106,-1.9774825143827373,-1.913784723607306,-2.5159183719222744
-2.1559597310832825,-2.1784210159155006,-2.1042626344991904,-2.2260276076414205,-2.055462843944621,-2.1771324440841924,-2.0601055797845893,-2.3140430699077483,-2.2510862624341113,-2.1787938031433196,-2.1117943831114117,-2.042848649806847,-1.9772350414990485,-1.912762806495769,-1.861514850827326
-2.1076242585225047,-2.0812961325454578,-2.1035728757071896,-2.0325820615234567,-2.0542018622135934,-2.1745247532350156,-2.0558759741612365,-1.9566850650637992,-2.2449987616565403,-2.1772772382649297,-2.107693739125631,-2.040383403527136,-1.9750674922232088,-1.912283536420811,-1.852559132374473
-2.059827204007938,-2.0808854937485135,-2.102752995501945,-2.030399619001383,-2.053386552216517,-2.1745126767654686,-2.0535045298973444,-1.9470810493317194,-2.230230943649022,-2.174166959412644,-2.102932869159673,-2.0351552285327372,-1.9686948099550945,-1.9107418535641425,-1.8446068164970748
-2.0131134599603198,-1.9869806697185763,-1.9616112429807273,-2.0290905893304223,-2.0507188671267857,-1.8890956882885441,-2.053474582033568,-1.9384658335416742,-1.8481057938080918,-2.163776177595977,-2.0986630394244896,-2.0344435820950997,-1.966355038155883,-1.9094603127274565,-1.8376051178359287
