1_173,2_173,3_173,4_173,5_173,6_173,7_173,8_173,9_173,10_173,11_173,12_173,13_173,14_173,15_173
-2.989715721916011,-2.9796173628288454,-2.9696511714871674,-2.959797594061073,-2.9500451614579086,-2.9403860240846575,-2.9308143340124535,-2.9213254887784434,-2.911915722336997,-2.90258186124721,-2.8933211688290683,-2.884131240115283,-2.875009928031106,-2.865955289853799,-2.8569655476017353
-2.968636210450828,-2.9781079246349536,-2.9677928823899333,-2.9576516399461124,-2.947651118186923,-2.937772406800176,-2.928003071626218,-2.9183341995048035,-2.908759013139987,-2.899272132738457,-2.8898691449416765,-2.880546333437468,-2.8713005014478274,-2.86212884970557,-2.8530288897259406
-2.947903981249241,-2.9374799956490483,-2.966055965857832,-2.955600069643622,-2.9453311845232384,-2.935216711746814,-2.9252362897744426,-2.9153759214508788,-2.9056253324496035,-2.895976611389031,-2.886423439473675,-2.876960621677957,-2.8675837850433856,-2.8582891755395,-2.8490735160441965
-2.9270650508605063,-2.9374481801903416,-2.9065113495161876,-2.9537458406816497,-2.9431773908964445,-2.932802381135914,-2.922590488394585,-2.912521406960921,-2.9025805796612705,-2.892757032367001,-2.883042166281701,-2.873429034120582,-2.863911881022721,-2.854485839572617,-2.845146719031593
-2.9064586512107207,-2.896349282803187,-2.906471184423853,-2.8757674374403326,-2.941279496239004,-2.9306130136722697,-2.9201436341105604,-2.9098436029536194,-2.8996932523627383,-2.8896779431271646,-2.879786350934799,-2.8700094401711262,-2.860339815563996,-2.8507712938272975,-2.841298609385935
-2.8857932025100785,-2.895652709365462,-2.906433469355967,-2.875713643851254,-2.845224732372808,-2.9287249971774583,-2.9179697020995032,-2.9074134964844114,-2.8970312124579083,-2.886804138599593,-2.876717864301782,-2.866760962101799,-2.856924145261854,-2.8471997076462063,-2.8375811378004077
-2.8653268644726895,-2.855087640031955,-2.845306251776132,-2.87559048983421,-2.8451495410732526,-2.8148937489734447,-2.916132093088323,-2.9052949160670845,-2.894657531663427,-2.884197300897248,-2.873896673677314,-2.8637417029601457,-2.8537210614974104,-2.843825372791771,-2.834046742859101
-2.8448261505608587,-2.855041094907092,-2.8444733603329335,-2.8755556144922094,-2.8450873062031907,-2.814847258968443,-2.7847947533106674,-2.9035389710938695,-2.8926258240969855,-2.881912086988826,-2.8713775547292046,-2.8610059709089235,-2.8507840351986906,-2.840700694198653,-2.8307466278252287
-2.8245069344003695,-2.8144800214935564,-2.843783238872725,-2.7947630443230174,-2.844917960309657,-2.8146317045708558,-2.7846733013820524,-2.7548771022190106,-2.890975784967951,-2.879992148064048,-2.869206590110187,-2.8586012193921313,-2.848161149099848,-2.8378738640337886,-2.827728729926681
-2.8041693844106517,-2.8140033252298258,-2.784041920717152,-2.793838024005246,-2.8447034924438794,-2.8146178255195062,-2.7846364427703394,-2.754855805443623,-2.7252334993032554,-2.8784667423005366,-2.8674179424055253,-2.856565060315258,-2.8458923782836547,-2.8353864090132728,-2.8250355200918333
-2.7840021704167452,-2.7739104078687062,-2.783985512098002,-2.7929967150104664,-2.7447119169287415,-2.814414731706999,-2.7843458830490038,-2.7545924960900927,-2.725078420598805,-2.6957449592388403,-2.8660314540730076,-2.8549227924294507,-2.844007166959601,-2.833270882092488,-2.822701843084546
-2.763828336244524,-2.7738536983215023,-2.7839293063370705,-2.7924686929187503,-2.7437240561833924,-2.8138956327849085,-2.7841459678447986,-2.7545306372692018,-2.725056233693171,-2.6957272106670302,-2.6665464752331633,-2.85368586795674,-2.842522669246142,-2.8315490086358244,-2.8207530546238093
-2.743817074418518,-2.7338845918678003,-2.724055357725175,-2.713982846204871,-2.742774162524941,-2.695146806701911,-2.784079705748123,-2.7542287503713423,-2.7247150131782245,-2.695463107996796,-2.6664127819734564,-2.6375158203969153,-2.8414429479515273,-2.83023056811899,-2.8192037106544285
-2.723808372482572,-2.733524220389667,-2.7234990175615117,-2.713906467978384,-2.7420788265678873,-2.6941176226166124,-2.7831192935841034,-2.753911790693408,-2.7244424688439923,-2.6953041086133886,-2.6663047686045185,-2.637447285616374,-2.6087335937459457,-2.829313189723416,-2.8180570030610728
-2.7039565316889167,-2.6939930014951305,-2.723126770838107,-2.7137308039234047,-2.741800947010483,-2.6930892449217225,-2.6460624496414815,-2.7537159148043813,-2.7242791371366564,-2.695003232569759,-2.6660097496245907,-2.6372374806617165,-2.60863622781736,-2.5801649143730248,-2.8173050244279243
-2.6841147964263095,-2.6939285530886194,-2.664352094577334,-2.713696471329095,-2.6448776717453986,-2.6922651298031863,-2.6450086996465125,-2.7523662691412842,-2.7239098750765187,-2.6944958137694393,-2.665599997323153,-2.636941655401887,-2.608419476520623,-2.5800351949533504,-2.5517900286972655
-2.664425563405014,-2.654584775235324,-2.6642861870991497,-2.6351872073849205,-2.64477396817294,-2.6918348708066766,-2.643924558565372,-2.59745397337207,-2.7233153301919892,-2.6943921818637806,-2.6654561647697137,-2.6367178104655453,-2.6082190185954395,-2.57990808692251,-2.5517419288156433
-2.6447528542744756,-2.6543004658015277,-2.6642165958820745,-2.634593053809685,-2.644683833927707,-2.6918135529778606,-2.643001294320113,-2.5963891957220904,-2.7216318019988157,-2.694072811188116,-2.6648774953142644,-2.636072659373634,-2.6076193215244263,-2.57944133537189,-2.5513960189357436
-2.6252292353120756,-2.6153781900317417,-2.6057267496601475,-2.6341073366788708,-2.644445976526969,-2.576737603977842,-2.6426032000067563,-2.595267205373726,-2.5493166832351486,-2.692936138337572,-2.6643994042846324,-2.6359287438442833,-2.607586463781532,-2.5793569696045355,-2.551331363758896
-2.605727742337936,-2.6153076039472096,-2.605316873384719,-2.6340078211770033,-2.6442024545070257,-2.57667543845427,-2.642406971380524,-2.594268246183283,-2.548252087350151,-2.690913871469728,-2.6643681610749197,-2.6354228416916086,-2.606851443620274,-2.578614674566802,-2.550650636299311
-2.5863726210739277,-2.5766159813986964,-2.6051192016383595,-2.557210959223918,-2.547879044946084,-2.5763752573465064,-2.642258879796858,-2.5941237258602974,-2.5471068026041057,-2.5016459408197966,-2.662573591592084,-2.634888405255635,-2.606279586332213,-2.5783239884228566,-2.550496181167566
-2.567044614700039,-2.5763868582483496,-2.547586807699861,-2.557120717021663,-2.547274674375403,-2.576374096714617,-2.5095919885570983,-2.593557462149232,-2.5464034980301267,-2.500590967915582,-2.6602126842528544,-2.6343626946908585,-2.606130456413688,-2.5777911480012,-2.549801260555869
-2.5478607879514548,-2.5381075960334547,-2.547515045430881,-2.5569125224120337,-2.5467240037530976,-2.5760743562603547,-2.509428244587452,-2.5934499144886916,-2.546051170813672,-2.499441569663616,-2.454437091865258,-2.632225619897643,-2.6055385043321624,-2.5769988839534137,-2.5490457478596626
-2.528708591019229,-2.538032048894199,-2.5474348636408752,-2.5568893571216185,-2.5467180514152914,-2.5755050908503856,-2.509377697237853,-2.593261579651261,-2.5454059061807897,-2.499434469585965,-2.4533997911095957,-2.629530286214402,-2.6043712035801234,-2.5766453027342284,-2.548890324239938
